,Name,Indian rupee,
0,1/31/1983,1900,
1,2/28/1983,1852.8,
2,3/31/1983,2010.4,
3,4/29/1983,1974.9,
4,5/31/1983,1960.9,
5,6/30/1983,2119.4,
6,7/29/1983,2248.9,
7,8/31/1983,2309.7,
8,9/30/1983,2409.8,
9,10/31/1983,2865,
10,11/30/1983,3204,
11,12/30/1983,3183.5,
12,1/31/1984,3731.8,
13,2/29/1984,5358,
14,3/30/1984,5286.7,
15,4/30/1984,4511.5,
16,5/31/1984,4164.4,
17,6/29/1984,4053.3,
18,7/31/1984,4711.1,
19,8/31/1984,5012.4,
20,9/28/1984,4867,
21,10/31/1984,5211.1,
22,11/30/1984,5112.3,
23,12/31/1984,4833.7,
24,1/31/1985,4705.2,
25,2/28/1985,4430,
26,3/29/1985,4110.2,
27,4/30/1985,4093.1,
28,5/31/1985,4107.8,
29,6/28/1985,4034,
30,7/31/1985,3968.2,
31,8/30/1985,3632.1,
32,9/30/1985,3705,
33,10/31/1985,4039.1,
34,11/29/1985,3998.6,
35,12/31/1985,3766.8,
36,1/31/1986,3749.3,
37,2/28/1986,3507,
38,3/31/1986,3440.4,
39,4/30/1986,3064.7,
40,5/30/1986,3274.2,
41,6/30/1986,3107,
42,7/31/1986,2970,
43,8/29/1986,3224.8,
44,9/30/1986,3468.6,
45,10/31/1986,4223.6,
46,11/28/1986,4094,
47,12/31/1986,4050.1,
48,1/30/1987,4296.4,
49,2/27/1987,4734.4,
50,3/31/1987,4880.2,
51,4/30/1987,4183.6,
52,5/29/1987,4309,
53,6/30/1987,4365,
54,7/31/1987,4153.3,
55,8/31/1987,4255.1,
56,9/30/1987,4230.6,
57,10/30/1987,4204.6,
58,11/30/1987,4021.9,
59,12/31/1987,3949.9,
60,1/29/1988,4063.4,
61,2/29/1988,3966.9,
62,3/31/1988,4129.8,
63,4/29/1988,4228.2,
64,5/31/1988,4116.2,
65,6/30/1988,4139.7,
66,7/29/1988,4173.9,
67,8/31/1988,3934.7,
68,9/30/1988,4003.5,
69,10/31/1988,4016.6,
70,11/30/1988,4070.5,
71,12/30/1988,4105.2,
72,1/31/1989,3908.7,
73,2/28/1989,3813.3,
74,3/31/1989,3869.6,
75,4/28/1989,3856.6,
76,5/31/1989,4005.6,
77,6/30/1989,3917.7,
78,7/31/1989,3910,
79,8/31/1989,3800.5,
80,9/29/1989,3918.4,
81,10/31/1989,3894,
82,11/30/1989,3902.6,
83,12/29/1989,3903.3,
84,1/31/1990,3871.6,
85,2/28/1990,4214.4,
86,3/30/1990,4175.8,
87,4/30/1990,4210.4,
88,5/31/1990,4199.6,
89,6/29/1990,4253.5,
90,7/31/1990,4294.2,
91,8/31/1990,4345.9,
92,9/28/1990,4702.3,
93,10/31/1990,5263.4,
94,11/30/1990,5431.1,
95,12/31/1990,5188.3,
96,1/31/1991,5107.2,
97,2/28/1991,5287.4,
98,3/29/1991,5213.6,
99,4/30/1991,5249.5,
100,5/31/1991,5576.8,
101,6/28/1991,5825.5,
102,7/31/1991,5759.7,
103,8/30/1991,5839.1,
104,9/30/1991,6003.6,
105,10/31/1991,5946.9,
106,11/29/1991,6027.9,
107,12/31/1991,6028.1,
108,1/31/1992,6263.6,
109,2/28/1992,6205,
110,3/31/1992,5745.4,
111,4/30/1992,5730.3,
112,5/29/1992,5929.5,
113,6/30/1992,5971.2,
114,7/31/1992,6214.3,
115,8/31/1992,6145.9,
116,9/30/1992,6127.6,
117,10/30/1992,5955,
118,11/30/1992,5945.8,
119,12/31/1992,6256.7,
120,1/29/1993,6273,
121,2/26/1993,6095.1,
122,3/31/1993,5892.9,
123,4/30/1993,6010.9,
124,5/31/1993,6013.3,
125,6/30/1993,5993.6,
126,7/30/1993,5996.8,
127,8/31/1993,6097.1,
128,9/30/1993,6049.7,
129,10/29/1993,6019.8,
130,11/30/1993,6144.9,
131,12/31/1993,6637,
132,1/31/1994,6901.5,
133,2/28/1994,6936.4,
134,3/31/1994,7062.9,
135,4/29/1994,6704.4,
136,5/31/1994,6467.5,
137,6/30/1994,6373.3,
138,7/29/1994,6119,
139,8/31/1994,6299.5,
140,9/30/1994,6831.9,
141,10/31/1994,6940.7,
142,11/30/1994,6878.5,
143,12/30/1994,6895.4,
144,1/31/1995,6841.7,
145,2/28/1995,7032.1,
146,3/31/1995,6849.6,
147,4/28/1995,7003.6,
148,5/31/1995,7145.3,
149,6/30/1995,7318,
150,7/31/1995,7699.4,
151,8/31/1995,9363.9,
152,9/29/1995,9195.7,
153,10/31/1995,8994.2,
154,11/30/1995,9251.2,
155,12/29/1995,9294.5,
156,1/31/1996,9315.3,
157,2/29/1996,9171.7,
158,3/29/1996,9185.5,
159,4/30/1996,9707.3,
160,5/31/1996,9751.6,
161,6/28/1996,9601.9,
162,7/31/1996,9684.5,
163,8/30/1996,10051.6,
164,9/30/1996,9712.6,
165,10/31/1996,9788.5,
166,11/29/1996,9776.5,
167,12/31/1996,9503.9,
168,1/31/1997,9655,
169,2/28/1997,9502.1,
170,3/31/1997,9852,
171,4/30/1997,10427.5,
172,5/30/1997,10723.1,
173,6/30/1997,11511.3,
174,7/31/1997,11684,
175,8/29/1997,12303.7,
176,9/30/1997,11904.9,
177,10/31/1997,11171.9,
178,11/28/1997,11435.8,
179,12/31/1997,11724.6,
180,1/30/1998,12038.1,
181,2/27/1998,12135.5,
182,3/31/1998,11979.9,
183,4/30/1998,12051.7,
184,5/29/1998,11834.4,
185,6/30/1998,11965,
186,7/31/1998,12093.2,
187,8/31/1998,12092.6,
188,9/30/1998,11931.7,
189,10/30/1998,12283.6,
190,11/30/1998,12227.1,
191,12/31/1998,12065.8,
192,1/29/1999,11904.5,
193,2/26/1999,11875.4,
194,3/31/1999,11817.6,
195,4/30/1999,12074.7,
196,5/31/1999,12278.7,
197,6/30/1999,12101.2,
198,7/30/1999,12166.9,
199,8/31/1999,12118.5,
200,9/30/1999,12110.8,
201,10/29/1999,12720.7,
202,11/30/1999,13245.3,
203,12/31/1999,13363.8,
204,1/31/2000,13534.6,
205,2/29/2000,14294.6,
206,3/31/2000,14788.7,
207,4/28/2000,13584.9,
208,5/31/2000,13425.7,
209,6/30/2000,13662.2,
210,7/31/2000,13450.1,
211,8/31/2000,13582.6,
212,9/29/2000,13791,
213,10/31/2000,13670.9,
214,11/30/2000,13586.4,
215,12/29/2000,13495.4,
216,1/31/2001,13224.6,
217,2/28/2001,12735.5,
218,3/30/2001,12433.5,
219,4/30/2001,12615.8,
220,5/31/2001,12333.8,
221,6/29/2001,12310.7,
222,7/31/2001,12198.1,
223,8/31/2001,11578.4,
224,9/28/2001,11634.2,
225,10/31/2001,11757.6,
226,11/30/2001,11768.3,
227,12/31/2001,11389.3,
228,1/31/2002,11323.3,
229,2/28/2002,11340.2,
230,3/29/2002,11575.8,
231,4/30/2002,11692.8,
232,5/31/2002,12222.7,
233,6/28/2002,12081.6,
234,7/31/2002,12345.3,
235,8/30/2002,12449.4,
236,9/30/2002,12148.9,
237,10/31/2002,12285,
238,11/29/2002,12525.9,
239,12/31/2002,12465.3,
240,1/31/2003,12413.6,
241,2/28/2003,12205.4,
242,3/31/2003,12209.1,
243,4/30/2003,12136.4,
244,5/30/2003,12079.2,
245,6/30/2003,11823.4,
246,7/31/2003,11273.4,
247,8/29/2003,11083.2,
248,9/30/2003,11153.5,
249,10/31/2003,11526.2,
250,11/28/2003,13499.4,
251,12/31/2003,12723.1,
252,1/30/2004,12307.4,
253,2/27/2004,12383.2,
254,3/31/2004,13076.2,
255,4/30/2004,12481.8,
256,5/31/2004,12205.7,
257,6/30/2004,12100.2,
258,7/30/2004,12766.6,
259,8/31/2004,12608.5,
260,9/30/2004,12537.3,
261,10/29/2004,12557.9,
262,11/30/2004,12511.2,
263,12/31/2004,12441.9,
264,1/31/2005,12690.7,
265,2/28/2005,12352.3,
266,3/31/2005,12181.4,
267,4/29/2005,12260.3,
268,5/31/2005,12175.4,
269,6/30/2005,12777.7,
270,7/29/2005,12699,
271,8/31/2005,12608.9,
272,9/30/2005,12835.3,
273,10/31/2005,13501.6,
274,11/30/2005,13589.7,
275,12/30/2005,13254.2,
276,1/31/2006,13205.2,
277,2/28/2006,13596.5,
278,3/31/2006,14378.4,
279,4/28/2006,14325.4,
280,5/31/2006,14799.4,
281,6/30/2006,15400.2,
282,7/31/2006,15714.3,
283,8/31/2006,15270.2,
284,9/29/2006,15067,
285,10/31/2006,15452.8,
286,11/30/2006,15303.8,
287,12/29/2006,15391,
288,1/31/2007,15973.1,
289,2/28/2007,17094.4,
290,3/30/2007,17136.7,
291,4/30/2007,16221.2,
292,5/31/2007,15547.4,
293,6/29/2007,16744.2,
294,7/31/2007,16640.5,
295,8/31/2007,16221.3,
296,9/28/2007,16520,
297,10/31/2007,17365.8,
298,11/30/2007,17195.6,
299,12/31/2007,17756.6,
300,1/31/2008,18538.2,
301,2/29/2008,18794.8,
302,3/31/2008,18312.7,
303,4/30/2008,18270.1,
304,5/30/2008,17697.8,
305,6/30/2008,17331.1,
306,7/31/2008,17842.5,
307,8/29/2008,18313.2,
308,9/30/2008,18543.6,
309,10/31/2008,18660,
310,11/28/2008,19229.4,
311,12/31/2008,19796.1,
312,1/30/2009,19417.4,
313,2/27/2009,18523,
314,3/31/2009,18481.5,
315,4/30/2009,18957.7,
316,5/29/2009,18760.7,
317,6/30/2009,18341.2,
318,7/31/2009,18757.9,
319,8/31/2009,18460.4,
320,9/30/2009,19085.3,
321,10/30/2009,20011.1,
322,11/30/2009,21049.6,
323,12/31/2009,21769.3,
324,1/29/2010,23298,
325,2/26/2010,24324,
326,3/31/2010,24565.6,
327,4/30/2010,24750.2,
328,5/31/2010,27413.1,
329,6/30/2010,30618.5,
330,7/30/2010,27435.6,
331,8/31/2010,29447.3,
332,9/30/2010,29436.7,
333,10/29/2010,27583.2,
334,11/30/2010,26628,
335,12/31/2010,28147.2,
336,1/31/2011,28116.5,
337,2/28/2011,27961.2,
338,3/31/2011,29348.2,
339,4/29/2011,28785,
340,5/31/2011,28611.5,
341,6/30/2011,27238.3,
342,7/29/2011,26735.6,
343,8/31/2011,26890,
344,9/30/2011,27161.7,
345,10/31/2011,28735.7,
346,11/30/2011,29824.5,
347,12/30/2011,31812.3,
348,1/31/2012,31693.9,
349,2/29/2012,35020.6,
350,3/30/2012,36671,
351,4/30/2012,39065.6,
352,5/31/2012,36432.1,
353,6/29/2012,37481.1,
354,7/31/2012,38110.9,
355,8/31/2012,40263.1,
356,9/28/2012,36050.1,
357,10/31/2012,37866.6,
358,11/30/2012,39183.3,
359,12/31/2012,37325.9,
360,1/31/2013,39753.9,
361,2/28/2013,41983.4,
362,3/29/2013,46533,
363,4/30/2013,47388.4,
364,5/31/2013,44625.9,
365,6/28/2013,45105.7,
366,7/31/2013,45177.4,
367,8/30/2013,45262.5,
368,9/30/2013,45883.5,
369,10/31/2013,48224.3,
370,11/29/2013,48744.7,
371,12/31/2013,52490.1,
372,1/31/2014,52883.4,
373,2/28/2014,51342.6,
374,3/31/2014,50761.8,
375,4/30/2014,50672.4,
376,5/30/2014,51111.1,
377,6/30/2014,55372.2,
378,7/31/2014,57418.5,
379,8/29/2014,55867.6,
380,9/30/2014,56639.7,
381,10/31/2014,58462.6,
382,11/28/2014,59610.4,
383,12/31/2014,61638,
384,1/30/2015,62781.7,
385,2/27/2015,61660.9,
386,3/31/2015,62371.6,
387,4/30/2015,64040.4,
388,5/29/2015,65436.9,
389,6/30/2015,67905.2,
390,7/31/2015,68549.9,
391,8/31/2015,69851.1,
392,9/30/2015,79635.9,
393,10/30/2015,84349.6,
394,11/30/2015,82053.6,
395,12/31/2015,88268.3,
396,1/29/2016,86615.9,
397,2/29/2016,84587.2,
398,3/31/2016,85728,
399,4/29/2016,84334.4,
400,5/31/2016,85476.4,
401,6/30/2016,86363.4,
402,7/29/2016,89590.7,
403,8/31/2016,88374.5,
404,9/30/2016,90330,
405,10/31/2016,95072.2,
406,11/30/2016,92757.8,
407,12/30/2016,94419.6,
408,1/31/2017,92222.1,3014.1
409,2/28/2017,90658.5,3022.26
410,3/31/2017,87618.3,2754
411,4/28/2017,86693.1,2694.84
412,5/31/2017,80775.6,2661.18
413,6/30/2017,77722.1,2818.26
414,7/31/2017,78302.7,3033.9
415,8/31/2017,76948.9,3043.68
416,9/29/2017,84743.9,3132.42
417,10/31/2017,86135,3311
418,11/30/2017,81132.9,3140.5
419,12/29/2017,79891,
420,1/31/2018,75805.8,
421,2/28/2018,77315.8,
422,3/30/2018,80958.3,
423,4/30/2018,81442,
424,5/31/2018,78376.9,
425,6/29/2018,76425.3,
426,7/31/2018,76433.5,
427,8/31/2018,78752.5,
428,9/29/2018,78909.9,
429,10/31/2018,75404.8,
430,11/30/2018,75051.9,
431,12/29/2018,72587.2,
432,1/31/2019,75304.6,
433,2/28/2019,77801.2,
434,3/31/2019,76152.6,
435,4/30/2019,73637.5,
436,5/31/2019,75179.9,
437,6/30/2019,76494.1,
438,7/31/2019,75441.4,
439,8/31/2019,71923.8,
440,9/30/2019,72670.6,
441,10/31/2019,74480.3,
442,11/30/2019,75445.7,
443,12/31/2019,71858.4,
444,1/31/2020,71185.8,
445,2/29/2020,73942.7,
446,3/31/2020,81885.8,
447,4/30/2020,83482.8,
448,5/31/2020,82588.6,
449,6/30/2020,84298.9,
450,7/31/2020,85902,
451,8/31/2020,89877.3,
452,9/30/2020,89730,
453,10/31/2020,88533.3,
454,11/30/2020,84510,
455,12/31/2020,83514.2,
456,1/31/2021,78132.7,
457,2/28/2021,81224.6,
458,3/31/2021,82740.7,
459,4/30/2021,81075.7,
460,5/31/2021,81675.7,
461,6/30/2021,80241.9,
462,7/31/2021,81223,
463,8/31/2021,79679.7,
464,9/30/2021,82041.5,
465,10/31/2021,84755.7,
466,11/30/2021,83256.2,
467,12/31/2021,83181.1,
468,1/31/2022,81106.3,
469,2/28/2022,84741.3,
470,3/31/2022,85757.5,
471,4/30/2022,86188.7,
472,5/31/2022,87713.1,
473,6/30/2022,88017.8,
474,7/31/2022,86888.1,
475,8/31/2022,85122.9,
476,9/30/2022,87631.9,
477,10/31/2022,89623.8,
